"#","Action","Name","Team","Player","Number","Start (mm:ss)","Stop (mm:ss)","Event Time (mm:ss)","Start (ms)","Stop (ms)","X Start","Y Start","X End","Y End","Tags","Outcome","Notes"
"1","Substitution","Lineup","","","","00:00","00:00","00:00","0","0","","","","","","",""
"2","Kick-off","Kick-off 001","","","","00:21","00:41","00:31","21620","41620","","","","","Outcome: 1st half | New subcategory 2: Left","1st half / Left",""
"3","pressing","pressing 001","EPS","Pinomaa A.","9","00:21","00:41","00:31","21980","41980","0.5190","0.6519","0.5806","0.6074","","",""
"4","Aerial","Aerial 001","EPS","Rönni T.","28","00:29","00:39","00:35","29940","39940","0.2299","0.8222","","","New subcategory 1: Defensive | New subcategory 2: Success","Defensive / Success",""
"5","extraction ","extraction  001","EPS","Paappanen E.","4","00:31","00:51","00:41","31260","51260","0.2014","0.7185","","","Outcome: clearance","clearance",""
"6","Pass","Pass 001","EPS","Paappanen E.","4","00:40","00:50","00:46","40620","50620","0.2062","0.7852","0.2630","0.9111","Outcome: Pass | New subcategory 2: success","Pass / success",""
"7","Pass","Pass 002","EPS","Marshall P.","6","00:44","00:54","00:50","44280","54280","0.2678","0.9481","0.6185","0.8000","Outcome: Pass | New subcategory 2: failed","Pass / failed",""
"8","counter pressing","counter pressing 001","EPS","Asikainen E.","24","00:44","01:04","00:54","44360","64360","0.4573","0.7778","","","New subcategory 1: success","success",""
"9","Pass","Pass 003","EPS","Asikainen E.","24","00:51","01:01","00:57","51280","61280","0.4573","0.7481","0.6232","0.0815","Outcome: Pass | New subcategory 2: failed","Pass / failed",""
"10","P/A","P/A 001","","","","01:02","01:22","01:12","62480","82480","0.7038","0.0074","0.8460","0.0741","Outcome: Success | throw-in","Success / throw-in",""
"11","extraction ","extraction  002","EPS","Rönni T.","28","01:11","01:31","01:21","71520","91520","0.5474","0.6074","","","Outcome: interception","interception",""
"12","Pass","Pass 004","EPS","Rönni T.","28","01:16","01:26","01:22","76060","86060","0.5427","0.6148","0.3152","0.6000","Outcome: Pass | New subcategory 2: success","Pass / success",""
"13","Pass","Pass 005","EPS","Paappanen E.","4","01:17","01:27","01:23","77800","87800","0.3578","0.6963","0.2204","0.5704","Outcome: Pass | New subcategory 2: success","Pass / success",""
"14","Pass","Pass 006","EPS","Lehtinen Lassi","30","01:23","01:33","01:29","83200","93200","0.1730","0.4148","0.4052","0.0667","Outcome: progressive  | New subcategory 2: success","progressive  / success",""
"15","Dribble","Dribble 001","EPS","laine S.","15","01:25","01:35","01:31","85440","95440","0.3341","0.0741","0.3768","0.0370","New subcategory 1: Offensive | New subcategory 3: Failure","Offensive / Failure",""
"16","Pass","Pass 007","EPS","laine S.","15","01:27","01:37","01:33","87780","97780","0.3957","0.0444","0.2725","0.0815","Outcome: Free kick | New subcategory 2: success","Free kick / success",""
"17","Pass","Pass 008","EPS","Asikainen E.","24","01:31","01:41","01:37","91260","101260","0.2962","0.0963","0.1209","0.3630","Outcome: Pass | New subcategory 2: success","Pass / success",""
"18","Pass","Pass 009","EPS","Lehtinen Lassi","30","01:35","01:45","01:41","95860","105860","0.1066","0.5111","0.1398","0.6963","Outcome: Pass | New subcategory 2: success","Pass / success",""
"19","Pass","Pass 010","EPS","Paappanen E.","4","01:39","01:49","01:45","99300","109300","0.2251","0.8074","0.3246","0.9481","Outcome: Pass | New subcategory 2: success","Pass / success",""
"20","Miscontrol","Miscontrol 001","EPS","Rönni T.","28","01:43","01:53","01:49","103780","113780","0.2630","0.9704","","","","",""
"21","Ground","Ground 001","EPS","Rönni T.","28","01:44","01:54","01:50","104780","114780","0.2820","0.9630","","","New subcategory 1: Offensive | New subcategory 2: Failure","Offensive / Failure",""
"22","P/A","P/A 002","","","","01:43","02:03","01:53","103880","123880","0.2583","0.9778","0.6043","0.8963","Outcome: Success | throw-in","Success / throw-in",""
"23","extraction ","extraction  003","EPS","laine S.","15","01:51","02:11","02:01","111780","131780","0.3294","0.1926","","","Outcome: interception","interception",""
"24","pressing","pressing 002","EPS","Margaritidis Angelos Nikolaos","5","01:59","02:19","02:09","119820","139820","0.2488","0.3111","0.3057","0.2667","","",""
