"Action","Name","Team","Player","Tags","Time","Start (ms)","Stop (ms)","EventTime (ms)","Position type","X start","Y start","X end","Y end"
"Substitution","Lineup","","","","00:00","0","0","0","","","","",""
"Kick-off","Kick-off 001","EPS","Pinomaa A.","1st half, Right","01:26","76780","96780","86780","","","","",""
"Pass","Pass 001","EPS","Pinomaa A.","Pass, success","01:27","81230","91230","87230","Field","0.4953","0.4889","0.7227","0.4815"
"Pass","Pass 002","EPS","Lehtinen Lassi","Pass, failed","01:32","86150","96150","92150","Field","0.6896","0.4889","0.2536","0.6444"
"Aerial","Aerial 001","EPS","O. Adawi","Defensive, Success","01:35","89190","99190","95190","Field","0.4147","0.4889","",""
"pressing","pressing 001","EPS","Gebala M.","","01:38","88930","108930","98930","Field","0.5758","0.7259","0.5095","0.7852"
"extraction ","extraction  001","EPS"," Rokkonen M.","recovery","01:43","93870","113870","103870","Field","0.8697","0.8593","",""
"Pass","Pass 003","EPS"," Rokkonen M.","Pass, success","01:44","98530","108530","104530","Field","0.8412","0.8667","0.9265","0.6000"
"Pass","Pass 004","EPS","Lehtinen Lassi","progressive , success","01:47","101230","111230","107230","Field","0.9028","0.6296","0.7370","0.6963"
"Pass","Pass 005","EPS","Asikainen E.","Pass, success","01:49","103670","113670","109670","Field","0.7844","0.6667","0.6564","0.8815"
"Pass","Pass 006","","","Through pass, failed","01:53","107530","117530","113530","Field","0.5474","0.8370","0.2441","0.7111"
"pressing","pressing 002","EPS","Talvitie E.","","02:04","114250","134250","124250","Field","0.2630","0.6889","0.2109","0.7852"
"P/A","P/A 001","","","Success, goal kick","02:04","114250","134250","124250","Field","0.0640","0.5407","0.1351","0.8222"
"Aerial","Aerial 002","EPS"," Rokkonen M.","Defensive, Failure","02:09","123070","133070","129070","Field","0.6943","0.6963","",""
"Aerial","Aerial 003","EPS","Margaritidis Angelos Nikolaos","Defensive, Failure","02:10","124830","134830","130830","Field","0.6896","0.5556","",""
"P/A","P/A 002","","","Success, pass","02:14","124610","144610","134610","Field","0.6896","0.5185","0.7180","0.1185"
"fouls","fouls 001","","","offside, no card","02:33","145430","159430","153430","Field","0.7085","0.0889","",""
"Pass","Pass 007","EPS","Margaritidis Angelos Nikolaos","Free kick, success","02:34","148030","158030","154030","Field","0.7370","0.0741","0.8839","0.1556"
"Pass","Pass 008","EPS","Lehtinen Lassi","Pass, success","02:41","155810","165810","161810","Field","0.8128","0.3333","0.7891","0.8000"
"Pass","Pass 009","EPS"," Rokkonen M.","progressive , success","02:46","160310","170310","166310","Field","0.7938","0.7259","0.6374","0.7185"
"Ground","Ground 001","EPS","Talvitie E.","Offensive, Failure","02:50","164950","174950","170950","Field","0.5948","0.6963","",""
"Pass","Pass 010","EPS","Asikainen E.","Free kick, success","02:51","165310","175310","171310","Field","0.6848","0.6889","0.7275","0.4000"
"Pass","Pass 011","EPS","Margaritidis Angelos Nikolaos","Pass, success","02:53","167750","177750","173750","Field","0.7227","0.4222","0.6801","0.3407"
